politifact14856	Chuck Schumers Steamy Affair With A High School Cheerleader Confirmed
politifact13806	NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”
politifact13515	Sid Miller
politifact15307	OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES
politifact15232	WHOA! YouTube Witness Makes SHOCKING Admission On LIVE TV! CNN PULLS PLUG IMMEDIATELY! — ShareRED
politifact14992	Rep. Paul Gosar Asks Capitol Police to Arrest Illegal Immigrants Attending State of the Union
politifact14991	Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’
politifact14859	Alabama State Police Arrest 3 Poll Workers In Birmingham
politifact14355	Oscar Pistorius Attempts To Commit Suicide
politifact13921	South African firm ordered to lay off 3,389 white employees
politifact14356	Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”
politifact14404	Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!
politifact13924	Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands
politifact14408	dailynative.us
politifact13887	Tom Price: “It’s Better For Our Budget If Cancer Patients Die More Quickly”
politifact14052	Donald Trump to issue an executive order to ban Facebook across US
politifact15137	Miley Cyrus: 'Donald Trump Is a F--king Nightmare'
politifact15135	Seattle Police Begin Gun Confiscations: No Laws Broken, No Warrant, No Charges
politifact14126	Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents
politifact15031	Food Stamp Enrollment Drops by Four Million in One Month
politifact15030	Account Suspended
politifact15037	Russian source behind Trump dossier killed in Russian plane crash, Rosatom CFO also dead. : conspiracy
politifact14211	DEA Just Raided A United States Senator
politifact15501	TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their Presidencies
politifact14213	‘NASA Confirms’ 15 Days Of Darkness Coming This Month
politifact14481	Floyd Mayweather Jr. Donates a Whopping Sum of Money to Houston After Hurricane – What You Missed
politifact13731	Information for the Nation
politifact14643	San Juan City Council Votes Unanimously To Impeach Trump-Hating Mayor
politifact14128	JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS
politifact15280	Clinton Email: We Must Destroy Syria For Israel
politifact15626	Clint Eastwood Leaves His Estate To The Trump 2020 Campaign
politifact15514	BUSTED: Obama is Holding Secret Meetings to OVERTAKE the White House
politifact14827	WE CALLED IT! Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore's Yearbook 'Signature' (VIDEO)
politifact15224	Obama Secretly Flees US – Leaves Stunning Evidence Behind
politifact13836	BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump
politifact15301	Account Suspended
politifact14556	Carnival Cruise Lines will now offer FREE Cruises
politifact14222	Democrat Maxine Waters Has Shown Up To Only 10% Of Congressional Meetings For 35 YEARS
politifact14718	Texas church shooter was a militant atheist
politifact13936	BREAKING: Autopsy Results From Vince Foster’s Exhumed Body–Cause Of Death To Be Changed
politifact15309	BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline
politifact14896	Police Officers, Firefighters and Others Get Hit with Tax Penalty
politifact14021	Trump on Revamping the Military: We’re Bringing Back the Draft
politifact14062	JUST IN: Sarah Palin In A Coma After Hit And Run
politifact13501	Lady Gaga Reveals Plan To Cover Her Face Again “Until Trump Gets Fired From Office And I Feel Free Once More”
politifact15334	‘Smallville’ Star Confesses She Sold Children To Rothschilds And Clintons
politifact15625	Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief
politifact15623	Queen Elizabeth Says: “Muslim Refugees Are Dividing Nationality, I Fully Agree With Donald Trump We Should…”(VIDEO)
politifact15512	Pope Calls for World Wide Gun Confiscation Except for the UN
politifact14259	Bumble Bee Foods charged after man cooked with tuna
politifact15147	International Arrest Warrant Issued for George Soros
politifact15146	ICE removal key goal of Democrats in 2020 election
politifact15141	BREAKING: Supreme Court Sides With Trump–This Changes Everything!
politifact13589	Pope Francis To Followers: “Koran And Holy Bible Are The Same”
politifact15599	THIS IS AMAZING: In 1984, the New York Times said Trump would be our BEST president…They forgot…..
politifact14750	BREAKING! Roy Moore’s Accuser Worked for Democratic Leaders and Is Actively Campaigning for Moore’s Opponent ⋆ Activist Mommy
politifact13744	URGENT: proposed law would charge protesters with terrorism
politifact13584	Donald Trump Dead From A Fatal HEART ATTACK! — Steemit
politifact15095	Legendary Actor Kirk Douglas Dead, 4 Days Before His 101st Birthday
politifact14469	First family visits D.C. shelter, highlights homeless veterans’ plight
politifact15096	Keanu on Trump travel ban: 'just terrible'
politifact14835	Facebook Picks Sides in Alabama Senate Race=> Shuts Down Gateway Pundit and Breitbart Reports on Discredited Allred Accuser
politifact14837	
politifact13905	SPECIAL REPORT: GEORGIA BECOMES FIRST STATE TO BAN MUSLIM CULTURE IN HISTORIC MOVE TO RESTORE WESTERN VALUES!
politifact14839	Morgue employee cremated by mistake while taking a nap
